SITE ID,SITE NAME,COUNTY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,LS 2016-17,2017,LS 2017-18,2018,LS 2018-19,2019,LS 2019-20,2020,LS 2020-21,2021,LS 2021-22,2022,LS 2022-23,2023,LS 2023-24,,
3096,"Nipomo, S. Oakglen",San Luis Obispo,,,,,,,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3288,Peach Street & Brizziolari Creek,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,
3043,"Pecho Rd., Los Osos (Pecho & Rosin Dr.)",San Luis Obispo,"15,000","4,100","1,500",100,"2,000",380,"3,000","3,000","2,000","2,000",500,880,720,"3,689","3,275","2,342","4,966","7,333","9,292","5,142",,"4,268",,90,,,,20,,"9,288","6,457","3,886","5,024",1905,1744,,
3065,"Pike, Halcyon",San Luis Obispo,,,,,450,0,470,"5,503","1,800","1,900",455,175,296,"2,944",199,179,35,0,1,0,,0,,,1,0,0,33,7,15,13,1,0,35,2,,
3073,"Pine Ridge, Cambria",San Luis Obispo,"25,000",,,,,,"4,600",600,,,,0,0,1,"6,073",867,"6,290","3,622","6,566","6,781","8,422","2,766",7,319,431,65,0,6,0,"3,479",1,"9,335","6,891",3547,3466,,
3060,"Pismo Beach, North Beach Campground",San Luis Obispo,"100,000","115,100","60,000","26,100","33,000","30,160","38,438","25,575","24,840","22,050","16,900","23,050","17,200","21,286","18,000","28,086","30,293","29,804","28,073","19,755","13,303","12,284","12,005","3,082","3,089","6,735","3,625",199,36,"20,871","16,965","24,128","18,073",16044,10152,,
3068,Prefumo Creek,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,38,16,18,3,46,42,26,,181,113,,
3098,"Price & Solar, Pismo",San Luis Obispo,,,,,40,184,50,210,20,150,38,26,0,162,20,238,0,87,212,8,,175,,51,1,0,,0,0,10,2,24,0,196,2,,
3082,"Private site, Oceano",San Luis Obispo,75,"9,850","8,000","7,500","4,400","10,811","7,406","2,725",700,"2,600","1,500","2,470","1,420","2,656","4,708","3,198","6,366","5,612","7,709","6,783","4,113","2,583","1,412",752,865,"1,775","1,470",88,103,"4,729","4,320","12,075","9,150",5110,5950,,
3061,"Private site, Pismo",San Luis Obispo,700,0,0,4,0,0,0,0,0,,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,
3256,"Private site, Ragged Point 1",San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,
3257,"Private site, Ragged Point 2",San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,6,,48,,,
3258,"Private site, Ragged Point 3",San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,978","5,690",311,,1,,,
3044,Ragged Point,San Luis Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,6,,12,0,37,,0,,,,,
